word;translation;example_sentence;transition_sentence
facilitate; erleichtern; They are working to facilitate communication; Sie arbeiten um zu erleichtern Kommunikation
faction; Fraktion; There was a faction within the party; Es war eine Fraktion innerhalb der Partei
faculty; Fakultät; She is a member of the faculty; Sie ist ein Mitglied von der Fakultät
fade; verblassen; The colour started to fade; Die Farbe begann zu verblassen
failed; gescheitert; They failed to reach an agreement; Sie scheiterten zu erreichen eine Übereinkunft
fairness; Fairness; They valued fairness; Sie schätzten Fairness
fake; gefälscht; The painting was a fake; Das Gemälde war ein gefälscht
fame; Ruhm; He achieved fame after the movie; Er erlangte Ruhm nach dem Film
fantasy; Fantasie; She lived in a fantasy world; Sie lebte in einer Fantasie Welt
fare; Fahrpreis; They paid the bus fare; Sie zahlten den Bus Fahrpreis
fatal; tödlich; It was a fatal mistake; Es war ein tödlicher Fehler
fate; Schicksal; He believed in fate; Er glaubte an Schicksal
favourable; günstig; They received a favourable response; Sie erhielten eine günstige Antwort
feat; Leistung; It was a remarkable feat; Es war eine bemerkenswerte Leistung
federal; bundesstaatlich; They are part of the federal government; Sie sind Teil von der bundesstaatlichen Regierung
feeding; Fütterung; The feeding of the animals was well planned; Die Fütterung von den Tieren war gut geplant
feminist; Feminist/in; She is a feminist; Sie ist eine Feministin
fever; Fieber; He had a high fever; Er hatte ein hohes Fieber
fibre; Faser; The cloth is made of natural fibres; Das Tuch ist gemacht aus natürlichen Fasern
fierce; heftig; There was a fierce storm; Es war ein heftiger Sturm
film-maker; Filmemacher/in; She is a successful film-maker; Sie ist eine erfolgreiche Filmemacherin
filter; Filter; The filter removes impurities; Der Filter entfernt Unreinheiten
fine; fein; The sand was very fine; Der Sand war sehr fein
firearm; Schusswaffe; He was carrying a firearm; Er trug eine Schusswaffe
firefighter; Feuerwehrmann/frau; The firefighters arrived quickly; Die Feuerwehrleute kamen schnell an
firework; Feuerwerk; They watched the fireworks; Sie schauten die Feuerwerke
firm; fest; They had a firm grip; Sie hatten einen festen Griff
firmly; fest; They were held firmly in place; Sie wurden gehalten fest in Platz
fit; passen; The shoes fit well; Die Schuhe passen gut
fixture; Einrichtung; The lighting is a new fixture; Die Beleuchtung ist eine neue Einrichtung
flavour; Geschmack; The soup had a nice flavour; Die Suppe hatte einen schönen Geschmack
flaw; Fehler; There was a flaw in the design; Es war ein Fehler in dem Design
flawed; fehlerhaft; The argument was flawed; Die Argumentation war fehlerhaft
flee; fliehen; They had to flee the country; Sie mussten fliehen das Land
fleet; Flotte; The navy has a large fleet of ships; Die Marine hat eine große Flotte von Schiffen
flesh; Fleisch; The animal had very little flesh; Das Tier hatte sehr wenig Fleisch
flexibility; Flexibilität; They need more flexibility; Sie brauchen mehr Flexibilität
flourish; gedeihen; The plants started to flourish; Die Pflanzen begannen zu gedeihen
fluid; flüssig; The water is a fluid; Das Wasser ist ein flüssig
fond; gern haben; He is very fond of chocolate; Er hat sehr gern Schokolade
fool; Narr; Do not be a fool; Sei kein Narr
footage; Filmmaterial; They showed some footage of the event; Sie zeigten etwas Filmmaterial von dem Ereignis
forbid; verbieten; They forbid them from entering; Sie verbieten ihnen von Betreten
forecast; Vorhersage; They gave a weather forecast; Sie gaben eine Wettervorhersage
foreigner; Ausländer/in; He is a foreigner; Er ist ein Ausländer
forge; fälschen; They tried to forge the signature; Sie versuchten zu fälschen die Unterschrift
format; Format; They needed to change the format; Sie brauchten zu ändern das Format
formation; Formation; The birds flew in formation; Die Vögel flogen in Formation
formerly; früher; She was formerly a teacher; Sie war früher eine Lehrerin
formula; Formel; They used a mathematical formula; Sie benutzten eine mathematische Formel
formulate; formulieren; They need to formulate a plan; Sie müssen formulieren einen Plan
forth; hervor; They came forth with the plan; Sie kamen hervor mit dem Plan
forthcoming; bevorstehend; The election is forthcoming; Die Wahl ist bevorstehend
fortunate; glücklich; They were fortunate to survive; Sie waren glücklich zu überleben
forum; Forum; They discussed the issue in a public forum; Sie diskutierten das Thema in einem öffentlichen Forum
fossil; Fossil; They found a fossil; Sie fanden ein Fossil
foster; fördern; They want to foster innovation; Sie wollen fördern Innovation
foundation; Stiftung/Fundament; They set up a foundation; Sie richteten ein Stiftung
founder; Gründer/in; He was the founder of the company; Er war der Gründer von der Firma
fraction; Bruchteil; They only got a fraction of what they wanted; Sie bekamen nur einen Bruchteil von was sie wollten
fragile; zerbrechlich; The glass was very fragile; Das Glas war sehr zerbrechlich
fragment; Fragment; They found a fragment of the vase; Sie fanden ein Fragment von der Vase
framework; Rahmen; They set up a framework for the project; Sie richteten ein Rahmen für das Projekt
franchise; Franchise; They own a franchise of the company; Sie besitzen eine Franchise von der Firma
frankly; offen gesagt; Frankly, I think it is a bad idea; Offen gesagt, ich denke es ist eine schlechte Idee
fraud; Betrug; They committed fraud; Sie begingen Betrug
freely; frei; They could move freely; Sie konnten sich bewegen frei
frequent; häufig; They are frequent visitors; Sie sind häufige Besucher
frustrated; frustriert; He was very frustrated; Er war sehr frustriert
frustrating; frustrierend; It was a very frustrating experience; Es war eine sehr frustrierende Erfahrung
frustration; Frustration; He was filled with frustration; Er war gefüllt mit Frustration
fulfil; erfüllen; They had to fulfil their obligations; Sie mussten erfüllen ihre Verpflichtungen
full-time; Vollzeit; They work full-time; Sie arbeiten Vollzeit
functional; funktional; The design was functional; Das Design war funktional
fundamentally; grundlegend; It is fundamentally different; Es ist grundlegend anders
fundraising; Spendenaktion; They did a lot of fundraising; Sie machten eine Menge von Spendenaktion
funeral; Beerdigung; They went to the funeral; Sie gingen zu der Beerdigung
furious; wütend; He was furious about it; Er war wütend darüber
gallon; Gallone; They bought a gallon of milk; Sie kauften eine Gallone von Milch
gambling; Glücksspiel; He has a problem with gambling; Er hat ein Problem mit Glücksspiel
gaming; Spielen; They enjoy online gaming; Sie genießen online Spielen
gathering; Versammlung; There was a large gathering of people; Es war eine große Versammlung von Leuten
gay; schwul; He is gay; Er ist schwul
gaze; starren; They gazed at the stars; Sie starrten an die Sterne
gear; Ausrüstung; They had all the necessary gear; Sie hatten alle die notwendige Ausrüstung
gender; Geschlecht; They studied gender issues; Sie studierten Geschlechts Themen
gene; Gen; They identified a faulty gene; Sie identifizierten ein fehlerhaftes Gen
generic; generisch; It is a generic drug; Es ist ein generisches Medikament
genetic; genetisch; They studied genetic disorders; Sie studierten genetische Störungen
genius; Genie; He is a genius at mathematics; Er ist ein Genie in Mathematik
genocide; Völkermord; The war led to genocide; Der Krieg führte zu Völkermord
genuine; echt; It was a genuine antique; Es war ein echtes Antik
genuinely; wirklich; They were genuinely happy; Sie waren wirklich glücklich
gesture; Geste; She made a gesture with her hands; Sie machte eine Geste mit ihren Händen
gig; Auftritt; The band had a gig in town; Die Band hatte einen Auftritt in Stadt
glance; Blick; She gave him a quick glance; Sie gab ihm einen schnellen Blick
glimpse; flüchtig sehen; He got a glimpse of the car; Er bekam einen flüchtigen Blick von dem Auto
globalization; Globalisierung; Globalization is an important phenomenon; Globalisierung ist ein wichtiges Phänomen
globe; Globus; The earth is a globe; Die Erde ist ein Globus
glorious; herrlich; It was a glorious day; Es war ein herrlicher Tag
glory; Ruhm; They fought for glory; Sie kämpften für Ruhm
golden; golden; They found a golden ring; Sie fanden einen goldenen Ring
goodness; Güte; He is full of goodness; Er ist voll von Güte
gorgeous; wunderschön; She looked gorgeous; Sie sah wunderschön aus
governance; Staatsführung; They have good governance; Sie haben gute Staatsführung
governor; Gouverneur/in; He is the governor of the state; Er ist der Gouverneur von dem Staat
grace; Anmut; She had grace when she danced; Sie hatte Anmut als sie tanzte
graphic; grafisch; The image was very graphic; Das Bild war sehr grafisch
graphics; Grafik; They worked on the graphics for the game; Sie arbeiteten an der Grafik für das Spiel
grasp; greifen; He tried to grasp the idea; Er versuchte zu greifen die Idee
grave; Grab; He was buried in a grave; Er war begraben in einem Grab
gravity; Schwerkraft; They studied gravity; Sie studierten Schwerkraft
greatly; sehr; He was greatly affected; Er war sehr betroffen
greenhouse; Treibhaus; They grew vegetables in a greenhouse; Sie bauten Gemüse in einem Treibhaus an
grid; Gitter; The city was laid out in a grid; Die Stadt war ausgelegt in einem Gitter
grief; Trauer; She felt great grief after his death; Sie fühlte große Trauer nach seinem Tod
grin; grinsen; He gave a wide grin; Er gab ein breites Grinsen
grind; mahlen; They grind the coffee beans; Sie mahlen die Kaffeebohnen
grip; Griff; He had a strong grip; Er hatte einen starken Griff
grocery; Lebensmittel; They bought groceries; Sie kauften Lebensmittel
guerrilla; Guerilla; They were a guerrilla group; Sie waren eine Guerilla Gruppe
guidance; Anleitung; They received guidance from the teacher; Sie erhielten Anleitung von dem Lehrer
guideline; Richtlinie; They followed the guidelines; Sie folgten den Richtlinien
guilt; Schuld; He felt guilt about what he did; Er fühlte Schuld über was er tat
gut; Bauch; He had a pain in his gut; Er hatte einen Schmerz in seinem Bauch
habitat; Lebensraum; The destruction of the habitat threatened the animals; Die Zerstörung von dem Lebensraum bedrohte die Tiere
hail; hageln; It started to hail; Es begann zu hageln
halfway; halb; They were halfway through the journey; Sie waren halb durch die Reise
halt; anhalten; They had to halt the project; Sie mussten anhalten das Projekt
handful; Handvoll; He had a handful of sweets; Er hatte eine Handvoll von Süßigkeiten
handling; Handhabung; They were responsible for the handling of the goods; Sie waren verantwortlich für die Handhabung von den Gütern
handy; praktisch; It is very handy to have a car; Es ist sehr praktisch zu haben ein Auto
harassment; Belästigung; They faced workplace harassment; Sie erlebten Arbeitsplatz Belästigung
harbour; Hafen; The boats came into the harbour; Die Boote kamen in den Hafen
hardware; Hardware; They sell computer hardware; Sie verkaufen Computer Hardware
harmony; Harmonie; They lived in harmony; Sie lebten in Harmonie
harsh; hart; The conditions were very harsh; Die Bedingungen waren sehr hart
harvest; Ernte; It was time for the harvest; Es war Zeit für die Ernte
hatred; Hass; He was filled with hatred; Er war gefüllt mit Hass
haunt; heimsuchen; The ghost haunted the house; Der Geist suchte heim das Haus
hazard; Gefahr; There was a fire hazard; Es war eine Feuer Gefahr
headquarters; Hauptquartier; The headquarters of the company is in London; Das Hauptquartier von der Firma ist in London
heal; heilen; The wound will heal slowly; Die Wunde wird heilen langsam
healthcare; Gesundheitswesen; They work in the healthcare industry; Sie arbeiten in der Gesundheitswesen Industrie
heighten; erhöhen; They tried to heighten the tension; Sie versuchten zu erhöhen die Spannung
helmet; Helm; He was wearing a helmet; Er trug einen Helm
hence; daher; The price was high, hence they did not buy it; Der Preis war hoch, daher sie kauften es nicht
herb; Kraut; They used herbs in the cooking; Sie benutzten Kräuter in dem Kochen
heritage; Erbe; They need to protect their heritage; Sie müssen schützen ihr Erbe
hidden; versteckt; The key was hidden; Der Schlüssel war versteckt
hierarchy; Hierarchie; There is a strict hierarchy in the company; Es gibt eine strenge Hierarchie in der Firma
high-profile; hochkarätig; He is a high-profile politician; Er ist ein hochkarätiger Politiker
highway; Autobahn; They drove on the highway; Sie fuhren auf der Autobahn
hilarious; urkomisch; The show was hilarious; Die Show war urkomisch
hint; Hinweis; She gave him a hint; Sie gab ihm einen Hinweis
hip; Hüfte; He injured his hip; Er verletzte seine Hüfte
historian; Historiker/in; She is a well-known historian; Sie ist eine bekannte Historikerin
homeland; Heimat; He returned to his homeland; Er kehrte zurück zu seiner Heimat
homeless; obdachlos; He was homeless; Er war obdachlos
honesty; Ehrlichkeit; They valued honesty; Sie schätzten Ehrlichkeit
hook; Haken; He hung the coat on the hook; Er hängte den Mantel an den Haken
hopeful; hoffnungsvoll; They were hopeful for the future; Sie waren hoffnungsvoll für die Zukunft
hopefully; hoffentlich; Hopefully, we will win; Hoffentlich, wir werden gewinnen
horizon; Horizont; They looked out at the horizon; Sie schauten hinaus auf den Horizont
horn; Horn; The car had a loud horn; Das Auto hatte ein lautes Horn
hostage; Geisel; They held them hostage; Sie hielten sie Geisel
hostile; feindselig; They had a hostile reaction; Sie hatten eine feindselige Reaktion
hostility; Feindseligkeit; There was a lot of hostility between them; Es war eine Menge von Feindseligkeit zwischen ihnen
humanitarian; humanitär; They provided humanitarian aid; Sie stellten humanitäre Hilfe
humanity; Menschheit; He had a great belief in humanity; Er hatte einen großen Glauben an die Menschheit
humble; bescheiden; He was very humble; Er war sehr bescheiden
hunger; Hunger; They are suffering from hunger; Sie leiden unter Hunger
hydrogen; Wasserstoff; Water is made of hydrogen and oxygen; Wasser ist gemacht aus Wasserstoff und Sauerstoff
hypothesis; Hypothese; They tested the hypothesis; Sie testeten die Hypothese
icon; Ikone; She is a cultural icon; Sie ist eine kulturelle Ikone
identical; identisch; The two cars were identical; Die zwei Autos waren identisch
identification; Identifikation; They needed identification; Sie brauchten Identifikation
ideological; ideologisch; They had different ideological views; Sie hatten verschiedene ideologische Ansichten
ideology; Ideologie; They followed a strict ideology; Sie folgten einer strengen Ideologie
idiot; Idiot; He acted like an idiot; Er handelte wie ein Idiot
ignorance; Ignoranz; They showed ignorance about the matter; Sie zeigten Ignoranz über die Angelegenheit
illusion; Illusion; It was just an illusion; Es war nur eine Illusion
imagery; Bildsprache; The book used vivid imagery; Das Buch benutzte lebendige Bildsprache
immense; immens; The project was immense; Das Projekt war immens
immigration; Einwanderung; They discussed immigration policies; Sie diskutierten Einwanderungs Politiken
imminent; unmittelbar; The threat was imminent; Die Bedrohung war unmittelbar
immune; immun; He is immune to the disease; Er ist immun zu der Krankheit
implement; umsetzen; They need to implement the plan; Sie müssen umsetzen den Plan
implementation; Umsetzung; The implementation of the plan was difficult; Die Umsetzung von dem Plan war schwierig
implication; Auswirkung; There were serious implications; Es gab ernste Auswirkungen
imprison; inhaftieren; They imprisoned him for his crimes; Sie inhaftierten ihn für seine Verbrechen
imprisonment; Inhaftierung; He received a sentence of imprisonment; Er erhielt eine Strafe von Inhaftierung
inability; Unfähigkeit; He had an inability to walk; Er hatte eine Unfähigkeit zu laufen
inadequate; unzureichend; The resources were inadequate; Die Ressourcen waren unzureichend
inappropriate; unangemessen; His behaviour was inappropriate; Sein Verhalten war unangemessen
incentive; Anreiz; They offered an incentive for new employees; Sie boten einen Anreiz für neue Angestellte
incidence; Häufigkeit; They studied the incidence of the disease; Sie studierten die Häufigkeit von der Krankheit
inclined; geneigt; He is inclined to agree; Er ist geneigt zuzustimmen
inclusion; Inklusion; They are working towards inclusion; Sie arbeiten hin zu Inklusion
incorporate; einbeziehen; They will incorporate the new ideas; Sie werden einbeziehen die neuen Ideen
incorrect; falsch; The answer was incorrect; Die Antwort war falsch
incur; verursachen; They will incur costs; Sie werden verursachen Kosten
independence; Unabhängigkeit; They fought for independence; Sie kämpften für Unabhängigkeit
index; Index; They used an index; Sie benutzten einen Index
indication; Anzeichen; There was no indication of trouble; Es war kein Anzeichen von Ärger
indicator; Indikator; They use economic indicators; Sie benutzen wirtschaftliche Indikatoren
indictment; Anklage; The indictment was filed; Die Anklage wurde eingereicht
indigenous; indigen; They are indigenous people; Sie sind indigene Leute
induce; veranlassen; They tried to induce him to go; Sie versuchten zu veranlassen ihn zu gehen
indulge; nachgeben; He likes to indulge in chocolate; Er mag nachzugeben in Schokolade
inequality; Ungleichheit; They are fighting against inequality; Sie kämpfen gegen Ungleichheit
inevitable; unvermeidlich; It was inevitable that it would happen; Es war unvermeidlich, dass es würde passieren
infamous; berüchtigt; He was an infamous criminal; Er war ein berüchtigter Krimineller
infant; Säugling; She has a new infant; Sie hat ein neues Säugling
infect; infizieren; The virus can infect humans; Der Virus kann infizieren Menschen
infer; schließen; They can infer that he is lying; Sie können schließen, dass er lügt
inflation; Inflation; They discussed the rise in inflation; Sie diskutierten den Anstieg in Inflation
inflict; zufügen; They inflicted pain on the victim; Sie fügten zu Schmerz auf das Opfer
influential; einflussreich; He is an influential figure; Er ist eine einflussreiche Figur
info; Info; They gave me some info; Sie gaben mir etwas Info
infrastructure; Infrastruktur; They need to improve the infrastructure; Sie müssen verbessern die Infrastruktur
inhabitant; Einwohner/in; The inhabitants of the village were friendly; Die Einwohner von dem Dorf waren freundlich
inherent; inhärent; There is an inherent risk; Es gibt ein inhärentes Risiko
inherit; erben; He will inherit the property; Er wird erben die Immobilie
inhibit; hemmen; The medicine will inhibit the growth; Das Medikament wird hemmen das Wachstum
initiate; initiieren; They initiated the project; Sie initiierten das Projekt
inject; injizieren; They need to inject the medicine; Sie müssen injizieren die Medizin
injection; Injektion; They gave him an injection; Sie gaben ihm eine Injektion
injustice; Ungerechtigkeit; They protested against injustice; Sie protestierten gegen Ungerechtigkeit
ink; Tinte; The pen was out of ink; Der Stift war aus Tinte
inmate; Insasse/Insassin; The inmates protested; Die Insassen protestierten
innovation; Innovation; They focused on innovation; Sie fokussierten auf Innovation
innovative; innovativ; They had an innovative approach; Sie hatten einen innovativen Ansatz
input; Eingabe; They needed input from the team; Sie brauchten Eingabe von dem Team
insert; einfügen; They need to insert the key; Sie müssen einfügen den Schlüssel
insertion; Einfügung; The insertion was difficult; Die Einfügung war schwierig
insider; Insider/in; He was an insider in the company; Er war ein Insider in der Firma
inspect; inspizieren; They need to inspect the car; Sie müssen inspizieren das Auto
inspection; Inspektion; They did an inspection of the building; Sie machten eine Inspektion von dem Gebäude
inspector; Inspektor/in; He is a safety inspector; Er ist ein Sicherheits Inspektor
inspiration; Inspiration; She found inspiration in the museum; Sie fand Inspiration in dem Museum
installation; Installation; The installation was difficult; Die Installation war schwierig
instant; sofortig; It was an instant success; Es war ein sofortiger Erfolg
instantly; sofort; The door opened instantly; Die Tür öffnete sich sofort
instinct; Instinkt; He trusted his instinct; Er vertraute seinem Instinkt
institutional; institutionell; They have institutional problems; Sie haben institutionelle Probleme
instruct; anweisen; They instructed him to leave; Sie wiesen ihn an zu verlassen
instrumental; instrumentell; The music was instrumental; Die Musik war instrumentell
insufficient; ungenügend; They had insufficient resources; Sie hatten ungenügende Ressourcen
insult; beleidigen; He insulted her; Er beleidigte sie
intact; intakt; The building was still intact; Das Gebäude war noch intakt
intake; Aufnahme; They monitored his fluid intake; Sie überwachten seine Flüssigkeits Aufnahme
integral; integral; It was an integral part of the system; Es war ein integraler Teil von dem System
integrate; integrieren; They tried to integrate them into society; Sie versuchten zu integrieren sie in die Gesellschaft
integrated; integriert; It was an integrated system; Es war ein integriertes System
integration; Integration; They worked on social integration; Sie arbeiteten an sozialer Integration
integrity; Integrität; They acted with integrity; Sie handelten mit Integrität
intellectual; intellektuell; He is an intellectual; Er ist ein Intellektueller
intensify; intensivieren; They need to intensify their efforts; Sie müssen intensivieren ihre Bemühungen
intensity; Intensität; The intensity of the storm was very high; Die Intensität von dem Sturm war sehr hoch
intensive; intensiv; They had an intensive course; Sie hatten einen intensiven Kurs
intent; Absicht; What was his intent?; Was war seine Absicht?
interact; interagieren; They need to interact with each other; Sie müssen interagieren mit einander
interaction; Interaktion; The interaction was good; Die Interaktion war gut
interactive; interaktiv; The game was very interactive; Das Spiel war sehr interaktiv
interface; Schnittstelle; They used a graphical interface; Sie benutzten eine grafische Schnittstelle
interfere; einmischen; They need not to interfere; Sie müssen nicht einmischen
interference; Einmischung; They experienced interference; Sie erlebten Einmischung
interim; Übergangs-; He was appointed as an interim manager; Er wurde ernannt als ein Übergangs Manager
interior; Innenraum; They redecorated the interior of the house; Sie renovierten den Innenraum von dem Haus
intermediate; mittel-; It is an intermediate course; Es ist ein mittel Kurs
interpretation; Interpretation; They had a different interpretation of the event; Sie hatten eine andere Interpretation von dem Ereignis
interval; Intervall; There was an interval between the acts; Es war ein Intervall zwischen den Akten
intervene; eingreifen; They had to intervene in the dispute; Sie mussten eingreifen in dem Streit
intervention; Intervention; The intervention was necessary; Die Intervention war notwendig
intimate; intim; They had an intimate relationship; Sie hatten eine intime Beziehung
intriguing; faszinierend; The story was very intriguing; Die Geschichte war sehr faszinierend
invade; einfallen; They invaded the country; Sie fielen ein das Land
invasion; Invasion; They faced an invasion; Sie erlebten eine Invasion
investigator; Ermittler/in; He is a police investigator; Er ist ein Polizei Ermittler
investor; Investor/in; They are looking for investors; Sie suchen nach Investoren
invisible; unsichtbar; The stain was invisible; Der Fleck war unsichtbar
invoke; anrufen; They invoked their right; Sie riefen an ihr Recht
involvement; Beteiligung; His involvement was clear; Seine Beteiligung war klar
ironic; ironisch; It was an ironic situation; Es war eine ironische Situation
ironically; ironischerweise; Ironically, it rained the day of the picnic; Ironischerweise, es regnete den Tag von dem Picknick
irony; Ironie; He used irony; Er benutzte Ironie
irrelevant; irrelevant; The comment was irrelevant; Der Kommentar war irrelevant
isolate; isolieren; They tried to isolate the problem; Sie versuchten zu isolieren das Problem
isolated; isoliert; They lived in an isolated community; Sie lebten in einer isolierten Gemeinschaft
isolation; Isolation; They were in isolation; Sie waren in Isolation
jail; Gefängnis; He was sent to jail; Er wurde geschickt zu Gefängnis
jet; Jet; They travelled by jet; Sie reisten mit Jet
joint; gemeinsam; They did a joint project; Sie machten ein gemeinsames Projekt
journalism; Journalismus; She studied journalism; Sie studierte Journalismus
judicial; gerichtlich; They had a judicial review; Sie hatten eine gerichtliche Überprüfung
junction; Kreuzung; They met at the junction; Sie trafen sich an der Kreuzung
jurisdiction; Gerichtsbarkeit; They are under their jurisdiction; Sie sind unter ihrer Gerichtsbarkeit
jury; Jury; The jury reached a verdict; Die Jury erreichte ein Urteil
just; gerecht; The punishment was just; Die Strafe war gerecht
justification; Rechtfertigung; They needed a justification for their actions; Sie brauchten eine Rechtfertigung für ihre Aktionen
kidnap; entführen; They tried to kidnap the child; Sie versuchten zu entführen das Kind
kidney; Niere; He had a problem with his kidney; Er hatte ein Problem mit seiner Niere
kingdom; Königreich; They lived in a kingdom; Sie lebten in einem Königreich
kit; Kit; They bought a first aid kit; Sie kauften ein Erste-Hilfe Kit
lad; Junge; He is a nice lad; Er ist ein netter Junge
ladder; Leiter; They climbed the ladder; Sie kletterten die Leiter
landing; Landung; The plane made a safe landing; Das Flugzeug machte eine sichere Landung
landlord; Vermieter/in; He is her landlord; Er ist ihr Vermieter
landmark; Wahrzeichen; It is a famous landmark; Es ist ein berühmtes Wahrzeichen
lane; Fahrspur; They drove in the right lane; Sie fuhren in der rechten Fahrspur
lap; Schoß; The cat sat on her lap; Die Katze saß auf ihrem Schoß
large-scale; groß angelegt; It was a large-scale project; Es war ein groß angelegtes Projekt
laser; Laser; They used a laser; Sie benutzten einen Laser
lately; in letzter Zeit; He has been tired lately; Er ist müde gewesen in letzter Zeit
latter; letztere/r; He preferred the latter option; Er bevorzugte die letztere Option
lawn; Rasen; They mowed the lawn; Sie mähten den Rasen
lawsuit; Klage; They filed a lawsuit; Sie reichten eine Klage ein
layout; Layout; They changed the layout of the website; Sie änderten das Layout von der Webseite
leaflet; Flugblatt; They distributed a leaflet; Sie verteilten ein Flugblatt
leak; lecken/Leck; There was a leak in the roof; Es war ein Leck in dem Dach
leap; Sprung; He made a leap; Er machte einen Sprung
legacy; Erbe; His legacy will continue; Sein Erbe wird fortsetzen
legend; Legende; It is a local legend; Es ist eine lokale Legende
legendary; legendär; He was a legendary figure; Er war eine legendäre Figur
legislation; Gesetzgebung; They debated the legislation; Sie debattierten die Gesetzgebung
legislative; legislativ; They have legislative power; Sie haben legislative Macht
legislature; Legislative; They voted in the legislature; Sie wählten in der Legislative
legitimate; legitim; It was a legitimate claim; Es war ein legitimer Anspruch
lengthy; langwierig; It was a lengthy process; Es war ein langwieriger Prozess
lens; Linse; He cleaned the lens of the camera; Er reinigte die Linse von der Kamera
lesbian; lesbisch; She is a lesbian; Sie ist eine Lesbe
lesser; geringer; It was of lesser importance; Es war von geringerer Bedeutung
lethal; tödlich; The weapon was lethal; Die Waffe war tödlich
liable; haftbar; They are liable for the damage; Sie sind haftbar für den Schaden
liberal; liberal; He has liberal views; Er hat liberale Ansichten
liberation; Befreiung; They celebrated the liberation; Sie feierten die Befreiung
liberty; Freiheit; They fought for liberty; Sie kämpften für Freiheit
license; Lizenz; He has a driving license; Er hat eine Fahr Lizenz
lifelong; lebenslang; It was a lifelong dream; Es war ein lebenslanger Traum
lifetime; Lebenszeit; It was the opportunity of a lifetime; Es war die Gelegenheit von einer Lebenszeit
lighting; Beleuchtung; They improved the lighting; Sie verbesserten die Beleuchtung
likelihood; Wahrscheinlichkeit; There is a low likelihood of rain; Es gibt eine niedrige Wahrscheinlichkeit von Regen
likewise; ebenfalls; He did it and I did likewise; Er tat es und ich tat ebenfalls
limb; Gliedmaße; He hurt his limb; Er verletzte seine Gliedmaße
limitation; Einschränkung; There was a limitation of freedom; Es war eine Einschränkung von Freiheit
line-up; Aufstellung; This is the team line-up; Das ist die Team Aufstellung
linear; linear; It was a linear process; Es war ein linearer Prozess
linger; verweilen; They lingered after the event; Sie verweilten nach dem Ereignis
listing; Auflistung; The company is on the stock market listing; Die Firma ist auf der Börsen Auflistung
literacy; Literalität; They are working to improve literacy; Sie arbeiten um zu verbessern Literalität
literally; wörtlich; He literally jumped for joy; Er sprang wörtlich vor Freude
literary; literarisch; It was a literary festival; Es war ein literarisches Festival
litre; Liter; They bought a litre of milk; Sie kauften ein Liter von Milch
litter; Abfall; They cleared the litter from the beach; Sie beseitigten den Abfall von dem Strand
liver; Leber; He has a problem with his liver; Er hat ein Problem mit seiner Leber
lobby; Lobby; They lobbied the government; Sie lobbyierten die Regierung
log; Protokoll; They kept a log of events; Sie führten ein Protokoll von Ereignissen
logic; Logik; It was a matter of logic; Es war eine Sache von Logik
logo; Logo; The company has a new logo; Die Firma hat ein neues Logo
long-standing; langjährig; They had a long-standing friendship; Sie hatten eine langjährige Freundschaft
long-time; langjährige/r; They are long-time friends; Sie sind langjährige Freunde
loom; drohen; A crisis was looming; Eine Krise drohte
loop; Schleife; There was a loop in the road; Es war eine Schleife in der Straße
lottery; Lotterie; They won the lottery; Sie gewannen die Lotterie
loyal; loyal; They are very loyal supporters; Sie sind sehr loyale Unterstützer
loyalty; Loyalität; They valued loyalty; Sie schätzten Loyalität
lyric; Liedtext; He wrote the lyric for the song; Er schrieb den Liedtext für das Lied
machinery; Maschinen; They have new machinery; Sie haben neue Maschinen
magical; magisch; It was a magical experience; Es war eine magische Erfahrung
magistrate; Magistrat/in; He appeared before the magistrate; Er erschien vor dem Magistrat
magnetic; magnetisch; The metal was magnetic; Das Metall war magnetisch
magnificent; prächtig; The view was magnificent; Die Aussicht war prächtig
magnitude; Größe; The magnitude of the problem was significant; Die Größe von dem Problem war bedeutend
mainland; Festland; They travelled from the island to the mainland; Sie reisten von der Insel zu dem Festland
mainstream; Mainstream; They are part of the mainstream; Sie sind Teil von dem Mainstream
maintenance; Wartung; They need to do some maintenance; Sie müssen tun etwas Wartung
major; bedeutend; It was a major event; Es war ein bedeutendes Ereignis
make-up; Make-up; She put on some make-up; Sie legte an etwas Make-up
making; machen; They were making a cake; Sie waren machen einen Kuchen
mandate; Mandat; They received a mandate from the voters; Sie erhielten ein Mandat von den Wählern
mandatory; obligatorisch; It is mandatory to wear a seatbelt; Es ist obligatorisch zu tragen einen Sicherheitsgurt
manifest; offensichtlich; The problem was manifest; Das Problem war offensichtlich
manipulate; manipulieren; They tried to manipulate the data; Sie versuchten zu manipulieren die Daten
manipulation; Manipulation; They accused him of manipulation; Sie beschuldigten ihn der Manipulation
manufacture; herstellen; They manufacture cars; Sie stellen her Autos
manufacturing; Herstellung; They work in manufacturing; Sie arbeiten in Herstellung
manuscript; Manuskript; They found an old manuscript; Sie fanden ein altes Manuskript
marathon; Marathon; He ran the marathon; Er rannte den Marathon
march; marschieren; They marched through the street; Sie marschierten durch die Straße
margin; Rand; They wrote in the margin; Sie schrieben in dem Rand
marginal; marginal; It was of marginal importance; Es war von marginaler Bedeutung
marine; Meeres-; They studied marine life; Sie studierten Meeres Leben
marker; Markierung; They put a marker on the map; Sie setzten eine Markierung auf der Karte
marketplace; Marktplatz; They bought food at the marketplace; Sie kauften Essen an dem Marktplatz
