word;translation;example_sentence;transition_sentence
heavily; stark; it rains heavily; es regnet stark
heavy; schwer; it's heavy; es ist schwer
heel; Ferse; I hurt my heel; ich verletze meine Ferse
height; Höhe; what is the height?; was ist die Höhe?
helicopter; Hubschrauber; it's a helicopter; es ist ein Hubschrauber
hell; Hölle; it's like hell; es ist wie die Hölle
hello; hallo; hello; hallo
help; helfen; can you help me?; kannst du mir helfen?
helpful; hilfreich; you are helpful; du bist hilfreich
her; ihr; it's her book; es ist ihr Buch
here; hier; I am here; ich bin hier
hero; Held; he is a hero; er ist ein Held
hers; ihr; it's hers; es ist ihr
herself; sie selbst; she does it herself; sie macht es selbst
hesitate; zögern; don't hesitate; zögere nicht
hey; hey; hey, what's up?; hey, was ist los?
hi; hi; hi, how are you?; hi, wie geht es dir?
hide; verstecken; they hide the money; sie verstecken das Geld
high; hoch; it's high; es ist hoch
highlight; hervorheben; they highlight the text; sie heben den Text hervor
highly; sehr; it's highly recommended; es ist sehr empfehlenswert
hill; Hügel; it's a hill; es ist ein Hügel
him; ihm; give it to him; gib es ihm
himself; er selbst; he does it himself; er macht es selbst
hire; mieten; they hire a car; sie mieten ein Auto
his; sein; it's his car; es ist sein Auto
historic; historisch; it's an historic building; es ist ein historisches Gebäude
historical; historisch; it's a historical event; es ist ein historisches Ereignis
history; Geschichte; it's history; es ist Geschichte
hit; schlagen; they hit the ball; sie schlagen den Ball
hobby; Hobby; it's my hobby; es ist mein Hobby
hockey; Hockey; they play hockey; sie spielen Hockey
hold; halten; I hold the door; ich halte die Tür
hole; Loch; it's a hole; es ist ein Loch
holiday; Urlaub; it's a holiday; es ist ein Urlaub
hollow; hohl; it's hollow; es ist hohl
holy; heilig; it's holy; es ist heilig
home; Zuhause; I go home; ich gehe nach Hause
homework; Hausaufgaben; I do my homework; ich mache meine Hausaufgaben
honest; ehrlich; he is honest; er ist ehrlich
honour; Ehre; it's an honour; es ist eine Ehre
hope; hoffen; I hope it's true; ich hoffe, es ist wahr
horrible; schrecklich; it's horrible; es ist schrecklich
horror; Horror; it's a horror movie; es ist ein Horrorfilm
horse; Pferd; it's a horse; es ist ein Pferd
hospital; Krankenhaus; I go to the hospital; ich gehe ins Krankenhaus
host; Gastgeber; he is the host; er ist der Gastgeber
hot; heiß; it's hot; es ist heiß
hotel; Hotel; it's a big hotel; es ist ein großes Hotel
hour; Stunde; it's one hour; es ist eine Stunde
house; Haus; it's my house; es ist mein Haus
household; Haushalt; it's a household item; es ist ein Haushaltsgegenstand
housing; Wohnraum; it's a housing project; es ist ein Wohnungsbauprojekt
how; wie; how are you?; wie geht es dir?
however; jedoch; however, it's not true; jedoch ist es nicht wahr
huge; riesig; it's huge; es ist riesig
human; menschlich; it's a human being; es ist ein menschliches Wesen
humorous; humorvoll; it's humorous; es ist humorvoll
humour; Humor; it's good humour; es ist guter Humor
hundred; hundert; it's one hundred; es ist hundert
hungry; hungrig; I am hungry; ich bin hungrig
hunt; jagen; they hunt animals; sie jagen Tiere
hunting; Jagen; I like hunting; ich mag Jagen
hurricane; Hurrikan; it's a hurricane; es ist ein Hurrikan
hurry; beeilen; I have to hurry; ich muss mich beeilen
hurt; verletzen; I hurt myself; ich verletze mich
husband; Ehemann; he is my husband; er ist mein Ehemann
i; ich; I am here; ich bin hier
ice; Eis; it's ice; es ist Eis
ice cream; Eiscreme; I eat ice cream; ich esse Eiscreme
idea; Idee; it's a good idea; es ist eine gute Idee
ideal; ideal; it's ideal; es ist ideal
identify; identifizieren; they identify the person; sie identifizieren die Person
identity; Identität; what is your identity?; was ist deine Identität?
if; wenn; if you want; wenn du willst
ignore; ignorieren; they ignore me; sie ignorieren mich
ill; krank; I am ill; ich bin krank
illegal; illegal; it's illegal; es ist illegal
illness; Krankheit; it's a serious illness; es ist eine ernste Krankheit
illustrate; veranschaulichen; they illustrate the point; sie veranschaulichen den Punkt
illustration; Illustration; it's an illustration; es ist eine Illustration
image; Bild; it's a nice image; es ist ein schönes Bild
imaginary; imaginär; it's imaginary; es ist imaginär
imagination; Fantasie; it's from imagination; es ist aus Fantasie
imagine; vorstellen; imagine that; stell dir das vor
immediate; unmittelbar; it's an immediate response; es ist eine unmittelbare Antwort
immediately; sofort; I want it immediately; ich will es sofort
immigrant; Einwanderer; he is an immigrant; er ist ein Einwanderer
impact; Auswirkung; it has an impact; es hat eine Auswirkung
impatient; ungeduldig; I am impatient; ich bin ungeduldig
imply; andeuten; they imply that it's wrong; sie deuten an, dass es falsch ist
import; importieren; they import goods; sie importieren Güter
importance; Wichtigkeit; it's of great importance; es ist von großer Wichtigkeit
important; wichtig; it's important; es ist wichtig
impose; auferlegen; they impose a rule; sie erlegen eine Regel auf
impossible; unmöglich; it's impossible; es ist unmöglich
impress; beeindrucken; they impress me; sie beeindrucken mich
impressed; beeindruckt; I am impressed; ich bin beeindruckt
impression; Eindruck; it's a good impression; es ist ein guter Eindruck
impressive; beeindruckend; it's impressive; es ist beeindruckend
improve; verbessern; they improve the situation; sie verbessern die Situation
improvement; Verbesserung; it's an improvement; es ist eine Verbesserung
in; in; I am in the house; ich bin im Haus
inch; Zoll; it's an inch; es ist ein Zoll
incident; Vorfall; it's an incident; es ist ein Vorfall
include; beinhalten; it includes this; es beinhaltet das
included; inklusive; it's included; es ist inklusive
including; einschließlich; including me; einschließlich mich
income; Einkommen; what is your income?; was ist dein Einkommen?
increase; erhöhen; they increase the price; sie erhöhen den Preis
increasingly; zunehmend; it's increasingly important; es ist zunehmend wichtiger
incredible; unglaublich; it's incredible; es ist unglaublich
incredibly; unglaublich; it's incredibly beautiful; es ist unglaublich schön
indeed; tatsächlich; indeed, it's true; tatsächlich ist es wahr
independent; unabhängig; they are independent; sie sind unabhängig
indicate; anzeigen; they indicate the direction; sie zeigen die Richtung an
indirect; indirekt; it's an indirect way; es ist ein indirekter Weg
individual; individuell; it's an individual problem; es ist ein individuelles Problem
indoor; drinnen; it's an indoor game; es ist ein Spiel für drinnen
indoors; drinnen; let's stay indoors; lass uns drinnen bleiben
industrial; industriell; it's an industrial area; es ist ein Industriegebiet
industry; Industrie; the industry is growing; die Industrie wächst
infection; Infektion; it's an infection; es ist eine Infektion
influence; Einfluss; it's an influence; es ist ein Einfluss
inform; informieren; they inform me; sie informieren mich
informal; informell; it's an informal meeting; es ist ein informelles Treffen
information; Information; that's good information; das ist eine gute Information
ingredient; Zutat; it's an ingredient; es ist eine Zutat
initial; anfänglich; it's the initial stage; es ist die anfängliche Stufe
initially; anfänglich; initially, I was wrong; anfänglich war ich falsch
initiative; Initiative; it's a good initiative; es ist eine gute Initiative
injure; verletzen; they injure him; sie verletzen ihn
injured; verletzt; he is injured; er ist verletzt
injury; Verletzung; it's a serious injury; es ist eine ernste Verletzung
inner; inner; it's an inner peace; es ist ein innerer Frieden
innocent; unschuldig; he is innocent; er ist unschuldig
insect; Insekt; it's an insect; es ist ein Insekt
inside; innen; it's inside; es ist innen
insight; Einsicht; it's an insight; es ist eine Einsicht
insist; bestehen; they insist on it; sie bestehen darauf
inspire; inspirieren; they inspire me; sie inspirieren mich
install; installieren; they install the system; sie installieren das System
instance; Fall; in this instance; in diesem Fall
instead; stattdessen; instead of that; stattdessen von dem
institute; Institut; it's a research institute; es ist ein Forschungsinstitut
institution; Institution; it's a big institution; es ist eine große Institution
instruction; Anweisung; follow the instruction; folge der Anweisung
instructor; Ausbilder; he is the instructor; er ist der Ausbilder
instrument; Instrument; it's a musical instrument; es ist ein Musikinstrument
insurance; Versicherung; it's an insurance; es ist eine Versicherung
intelligence; Intelligenz; he has intelligence; er hat Intelligenz
intelligent; intelligent; he is intelligent; er ist intelligent
intend; beabsichtigen; they intend to go; sie beabsichtigen zu gehen
intended; beabsichtigt; it's the intended goal; es ist das beabsichtigte Ziel
intense; intensiv; it's an intense feeling; es ist ein intensives Gefühl
intention; Absicht; what is your intention?; was ist deine Absicht?
interest; Interesse; I have an interest; ich habe ein Interesse
interested; interessiert; I am interested; ich bin interessiert
interesting; interessant; it's interesting; es ist interessant
internal; intern; it's an internal matter; es ist eine interne Angelegenheit
international; international; it's an international event; es ist ein internationales Ereignis
internet; Internet; I use the internet; ich benutze das Internet
interpret; interpretieren; they interpret the text; sie interpretieren den Text
interrupt; unterbrechen; don't interrupt me; unterbrich mich nicht
interview; Interview; I have an interview; ich habe ein Interview
into; hinein; they go into the house; sie gehen hinein in das Haus
introduce; vorstellen; I introduce myself; ich stelle mich vor
introduction; Einführung; it's an introduction; es ist eine Einführung
invent; erfinden; they invent a machine; sie erfinden eine Maschine
invention; Erfindung; it's a great invention; es ist eine großartige Erfindung
invest; investieren; they invest money; sie investieren Geld
investigate; untersuchen; they investigate the problem; sie untersuchen das Problem
investigation; Untersuchung; it's an investigation; es ist eine Untersuchung
investment; Investition; it's a good investment; es ist eine gute Investition
invitation; Einladung; it's an invitation; es ist eine Einladung
invite; einladen; they invite me; sie laden mich ein
involve; einbeziehen; they involve everyone; sie beziehen jeden ein
involved; beteiligt; I am involved; ich bin beteiligt
iron; Eisen; it's made of iron; es ist aus Eisen gemacht
island; Insel; it's a small island; es ist eine kleine Insel
issue; Thema; it's a big issue; es ist ein großes Thema
it; es; it is here; es ist hier
item; Gegenstand; it's an item; es ist ein Gegenstand
its; sein; it's its goal; es ist sein Ziel
itself; es selbst; it does it itself; es macht es selbst
jacket; Jacke; I wear a jacket; ich trage eine Jacke
jam; Marmelade; I like jam; ich mag Marmelade
january; Januar; it's january; es ist Januar
jazz; Jazz; it's jazz music; es ist Jazzmusik
jeans; Jeans; I wear jeans; ich trage Jeans
jewellery; Schmuck; it's nice jewellery; es ist schöner Schmuck
job; Job; I have a job; ich habe einen Job
join; beitreten; they join the team; sie treten dem Team bei
joke; Witz; it's a joke; es ist ein Witz
journal; Journal; it's a journal; es ist ein Journal
journalist; Journalist; he is a journalist; er ist ein Journalist
journey; Reise; it's a long journey; es ist eine lange Reise
joy; Freude; it's joy; es ist Freude
judge; Richter; he is a judge; er ist ein Richter
judgement; Urteil; it's a judgement; es ist ein Urteil
juice; Saft; I drink juice; ich trinke Saft
july; Juli; it's july; es ist Juli
jump; springen; they jump high; sie springen hoch
june; Juni; it's june; es ist Juni
junior; Junior; he is a junior worker; er ist ein Juniorarbeiter
just; gerade; I just finished; ich habe gerade fertig
justice; Gerechtigkeit; it's about justice; es geht um Gerechtigkeit
justify; rechtfertigen; they justify the decision; sie rechtfertigen die Entscheidung
keen; begeistert; I am keen; ich bin begeistert
keep; behalten; they keep the money; sie behalten das Geld
key; Schlüssel; it's a key; es ist ein Schlüssel
keyboard; Tastatur; it's a keyboard; es ist eine Tastatur
kick; treten; they kick the ball; sie treten den Ball
kid; Kind; he is a kid; er ist ein Kind
kill; töten; they kill the animal; sie töten das Tier
killing; Tötung; it's a killing; es ist eine Tötung
kilometre; Kilometer; it's one kilometre; es ist ein Kilometer
kind; Art; what kind of problem?; welche Art von Problem?
king; König; he is the king; er ist der König
kiss; Kuss; it's a kiss; es ist ein Kuss
kitchen; Küche; it's the kitchen; es ist die Küche
knee; Knie; I hurt my knee; ich verletze mein Knie
knife; Messer; it's a knife; es ist ein Messer
knock; klopfen; they knock on the door; sie klopfen an die Tür
know; wissen; I know that; ich weiß das
knowledge; Wissen; I have knowledge; ich habe Wissen
lab; Labor; it's a lab; es ist ein Labor
label; Etikett; it's a label; es ist ein Etikett
laboratory; Labor; it's a laboratory; es ist ein Labor
labour; Arbeit; it's hard labour; es ist schwere Arbeit
lack; Mangel; there is a lack of water; da ist ein Mangel an Wasser
lady; Dame; she is a lady; sie ist eine Dame
lake; See; it's a big lake; es ist ein großer See
lamp; Lampe; it's a lamp; es ist eine Lampe
land; Land; it's a land; es ist ein Land
landscape; Landschaft; it's a nice landscape; es ist eine schöne Landschaft
language; Sprache; what is your language?; was ist deine Sprache?
laptop; Laptop; it's a laptop; es ist ein Laptop
large; groß; it's a large building; es ist ein großes Gebäude
largely; größtenteils; it's largely correct; es ist größtenteils richtig
last; letzte; it's the last one; es ist der letzte
late; spät; it's late; es ist spät
later; später; I'll come later; ich werde später kommen
latest; neueste; it's the latest news; es sind die neuesten Nachrichten
laugh; lachen; they laugh; sie lachen
laughter; Lachen; it's laughter; es ist Lachen
launch; starten; they launch a rocket; sie starten eine Rakete
law; Gesetz; it's the law; es ist das Gesetz
lawyer; Anwalt; he is a lawyer; er ist ein Anwalt
lay; legen; they lay the carpet; sie legen den Teppich
layer; Schicht; it's a layer; es ist eine Schicht
lazy; faul; he is lazy; er ist faul
lead; führen; they lead the group; sie führen die Gruppe
leader; Führer; he is the leader; er ist der Führer
leadership; Führung; it's good leadership; es ist eine gute Führung
leading; führend; it's the leading company; es ist das führende Unternehmen
leaf; Blatt; it's a leaf; es ist ein Blatt
extremely; extrem; it's extremely cold; es ist extrem kalt
eye; Auge; I see with my eye; ich sehe mit meinem Auge
face; Gesicht; she has a beautiful face; sie hat ein schönes Gesicht
facility; Einrichtung; it's a sports facility; es ist eine Sporteinrichtung
fact; Tatsache; it's a fact; es ist eine Tatsache
factor; Faktor; it's an important factor; es ist ein wichtiger Faktor
factory; Fabrik; they work in a factory; sie arbeiten in einer Fabrik
fail; scheitern; they fail the test; sie scheitern bei dem Test
failure; Misserfolg; that's a failure; das ist ein Misserfolg
fair; fair; it's a fair deal; es ist ein fairer Deal
fairly; ziemlich; it's fairly good; es ist ziemlich gut
faith; Glaube; I have faith; ich habe Glauben
fall; fallen; they fall down; sie fallen runter
false; falsch; that's false; das ist falsch
familiar; vertraut; this is familiar; das ist vertraut
family; Familie; they are my family; sie sind meine Familie
famous; berühmt; he is famous; er ist berühmt
fan; Fan; I am a fan; ich bin ein Fan
fancy; schick; it's a fancy restaurant; es ist ein schickes Restaurant
fantastic; fantastisch; it's fantastic; es ist fantastisch
far; weit; it's far away; es ist weit weg
farm; Bauernhof; it's a big farm; es ist ein großer Bauernhof
farmer; Bauer; he is a farmer; er ist ein Bauer
farming; Landwirtschaft; he works in farming; er arbeitet in der Landwirtschaft
fascinating; faszinierend; it's fascinating; es ist faszinierend
fashion; Mode; it's a fashion show; es ist eine Modenschau
fashionable; modisch; this is fashionable; das ist modisch
fast; schnell; they run fast; sie rennen schnell
fasten; befestigen; they fasten the seatbelt; sie befestigen den Sicherheitsgurt
fat; fett; he is fat; er ist fett
father; Vater; he is my father; er ist mein Vater
fault; Fehler; it's my fault; es ist mein Fehler
favour; Gefallen; I do a favour; ich tue einen Gefallen
favourite; Lieblings; it's my favourite; es ist mein Lieblings
fear; Angst; I have a fear; ich habe Angst
feather; Feder; it's a feather; es ist eine Feder
feature; Merkmal; it's an important feature; es ist ein wichtiges Merkmal
february; Februar; it's february; es ist Februar
fee; Gebühr; there is a fee; da ist eine Gebühr
feed; füttern; they feed the animal; sie füttern das Tier
feedback; Feedback; they give feedback; sie geben Feedback
feel; fühlen; I feel happy; ich fühle mich glücklich
feeling; Gefühl; it's a good feeling; es ist ein gutes Gefühl
fellow; Kerl; he is a nice fellow; er ist ein netter Kerl
female; weiblich; she is female; sie ist weiblich
fence; Zaun; it's a fence; es ist ein Zaun
festival; Festival; it's a music festival; es ist ein Musikfestival
few; wenige; there are a few; da sind wenige
fiction; Fiktion; it's fiction; es ist Fiktion
field; Feld; it's a big field; es ist ein großes Feld
fifteen; fünfzehn; it's fifteen o'clock; es ist fünfzehn Uhr
fifth; fünfte; it's the fifth time; es ist das fünfte Mal
fifty; fünfzig; it's fifty; es ist fünfzig
fight; kämpfen; they fight; sie kämpfen
fighting; Kampf; it's a fighting; es ist ein Kampf
figure; Zahl/Figur; it's a figure; es ist eine Zahl/Figur
file; Datei; it's a file; es ist eine Datei
fill; füllen; they fill the bottle; sie füllen die Flasche
film; Film; it's a good film; es ist ein guter Film
final; final; it's the final result; es ist das finale Ergebnis
finally; schließlich; finally, they agree; schließlich stimmen sie zu
finance; Finanzen; I study finance; ich studiere Finanzen
financial; finanziell; it's a financial problem; es ist ein finanzielles Problem
find; finden; I find the book; ich finde das Buch
finding; Fund; it's a recent finding; es ist ein aktueller Fund
fine; gut; it's fine; es ist gut
finger; Finger; I hurt my finger; ich verletze meinen Finger
finish; beenden; they finish the work; sie beenden die Arbeit
fire; Feuer; there is a fire; da ist ein Feuer
firm; Firma; it's a law firm; es ist eine Anwaltskanzlei
first; erste; it's the first time; es ist das erste Mal
firstly; erstens; firstly, it's true; erstens, ist es wahr
fish; Fisch; I eat fish; ich esse Fisch
fishing; Fischen; I like fishing; ich mag Fischen
fit; passen; it doesn't fit; es passt nicht
fitness; Fitness; it's about fitness; es geht um Fitness
five; fünf; it's five o'clock; es ist fünf Uhr
fix; reparieren; they fix the car; sie reparieren das Auto
fixed; fest; it's fixed; es ist fest
flag; Flagge; it's a flag; es ist eine Flagge
flame; Flamme; the flame is hot; die Flamme ist heiß
flash; Blitz; it's a flash; es ist ein Blitz
flat; flach; the surface is flat; die Oberfläche ist flach
flexible; flexibel; it's flexible; es ist flexibel
flight; Flug; I have a flight; ich habe einen Flug
float; schweben; it floats in the air; es schwebt in der Luft
flood; Flut; there is a flood; da ist eine Flut
floor; Boden; it's on the floor; es ist auf dem Boden
flour; Mehl; I need flour; ich brauche Mehl
flow; fließen; the river flows; der Fluss fließt
flower; Blume; it's a beautiful flower; es ist eine schöne Blume
flu; Grippe; I have the flu; ich habe die Grippe
fly; fliegen; birds fly; Vögel fliegen
flying; Fliegen; I like flying; ich mag Fliegen
focus; Fokus; the focus is on this; der Fokus liegt darauf
fold; falten; they fold the paper; sie falten das Papier
folding; Falten; the folding is easy; das Falten ist einfach
folk; Leute; these are folk songs; das sind Volkslieder
follow; folgen; they follow the path; sie folgen dem Pfad
following; folgende; it's the following day; es ist der folgende Tag
food; Essen; I eat food; ich esse Essen
foot; Fuß; I hurt my foot; ich verletze meinen Fuß
football; Fußball; they play football; sie spielen Fußball
for; für; it's for you; es ist für dich
force; Kraft; it's a big force; es ist eine große Kraft
foreign; ausländisch; it's a foreign language; es ist eine ausländische Sprache
forest; Wald; it's a big forest; es ist ein großer Wald
forever; für immer; it lasts forever; es dauert für immer
forget; vergessen; don't forget it; vergiss es nicht
forgive; vergeben; I forgive you; ich vergebe dir
fork; Gabel; I eat with a fork; ich esse mit einer Gabel
form; Form; it's a new form; es ist eine neue Form
formal; formell; it's a formal event; es ist ein formelles Ereignis
former; ehemalige; it's my former job; es ist mein ehemaliger Job
fortunately; glücklicherweise; fortunately, they are here; glücklicherweise sind sie hier
fortune; Vermögen; he has a big fortune; er hat ein großes Vermögen
forty; vierzig; it's forty; es ist vierzig
forward; vorwärts; move forward; bewege dich vorwärts
found; gefunden; I found it; ich habe es gefunden
four; vier; it's four o'clock; es ist vier Uhr
fourteen; vierzehn; it's fourteen; es ist vierzehn
fourth; vierte; it's the fourth one; es ist der vierte
frame; Rahmen; it's a picture frame; es ist ein Bilderrahmen
free; frei; it's free; es ist frei
freedom; Freiheit; I want freedom; ich will Freiheit
freeze; gefrieren; the water freezes; das Wasser gefriert
frequency; Häufigkeit; it's the frequency; es ist die Häufigkeit
frequently; häufig; they do it frequently; sie machen es häufig
fresh; frisch; it's fresh; es ist frisch
friday; Freitag; it's friday; es ist Freitag
fridge; Kühlschrank; it's in the fridge; es ist im Kühlschrank
friend; Freund; he is my friend; er ist mein Freund
friendly; freundlich; he is friendly; er ist freundlich
friendship; Freundschaft; it's a good friendship; es ist eine gute Freundschaft
frighten; erschrecken; they frighten me; sie erschrecken mich
frightened; erschrocken; I am frightened; ich bin erschrocken
frightening; erschreckend; it's frightening; es ist erschreckend
frog; Frosch; it's a frog; es ist ein Frosch
from; von; it's from here; es ist von hier
front; vorne; it's in the front; es ist vorne
frozen; gefroren; it's frozen; es ist gefroren
fruit; Frucht; it's a fruit; es ist eine Frucht
fry; braten; they fry the food; sie braten das Essen
fuel; Treibstoff; it's a fuel; es ist ein Treibstoff
full; voll; the glass is full; das Glas ist voll
fully; vollständig; it's fully done; es ist vollständig gemacht
fun; Spaß; it's fun; es macht Spaß
function; Funktion; what is the function?; was ist die Funktion?
fund; Fonds; it's a fund; es ist ein Fonds
fundamental; grundlegend; it's fundamental; es ist grundlegend
funding; Finanzierung; it's about funding; es geht um Finanzierung
funny; lustig; it's funny; es ist lustig
fur; Fell; it's soft fur; es ist weiches Fell
furniture; Möbel; it's new furniture; es sind neue Möbel
further; weiter; I go further; ich gehe weiter
furthermore; außerdem; furthermore, it's true; außerdem, ist es wahr
future; Zukunft; it's in the future; es ist in der Zukunft
gain; gewinnen; they gain a lot; sie gewinnen viel
gallery; Galerie; it's an art gallery; es ist eine Kunstgalerie
game; Spiel; it's a fun game; es ist ein lustiges Spiel
gang; Bande; it's a gang; es ist eine Bande
gap; Lücke; there is a gap; da ist eine Lücke
garage; Garage; it's a garage; es ist eine Garage
garden; Garten; it's a beautiful garden; es ist ein schöner Garten
gas; Gas; it's a gas; es ist ein Gas
gate; Tor; it's a gate; es ist ein Tor
gather; sammeln; they gather together; sie sammeln sich zusammen
general; allgemein; it's a general opinion; es ist eine allgemeine Meinung
generally; im Allgemeinen; generally, it's good; im Allgemeinen, ist es gut
generate; erzeugen; they generate power; sie erzeugen Energie
generation; Generation; it's a new generation; es ist eine neue Generation
generous; großzügig; they are generous; sie sind großzügig
genre; Genre; what's the genre?; was ist das Genre?
gentle; sanft; he is gentle; er ist sanft
gentleman; Herr; he is a gentleman; er ist ein Herr
geography; Geografie; I study geography; ich studiere Geografie
get; bekommen; I get a gift; ich bekomme ein Geschenk
ghost; Geist; it's a ghost story; es ist eine Geistergeschichte
giant; Riese; it's a giant; es ist ein Riese
gift; Geschenk; it's a gift; es ist ein Geschenk
girl; Mädchen; she is a girl; sie ist ein Mädchen
girlfriend; Freundin; she is my girlfriend; sie ist meine Freundin
give; geben; I give a gift; ich gebe ein Geschenk
glad; froh; I am glad; ich bin froh
glass; Glas; it's a glass; es ist ein Glas
global; global; it's a global problem; es ist ein globales Problem
glove; Handschuh; I wear gloves; ich trage Handschuhe
go; gehen; I go for a walk; ich gehe für einen Spaziergang
goal; Ziel; that's the goal; das ist das Ziel
god; Gott; he believes in god; er glaubt an Gott
gold; Gold; it's made of gold; es ist aus Gold gemacht
golf; Golf; they play golf; sie spielen Golf
good; gut; it's good; es ist gut
goodbye; auf Wiedersehen; goodbye; auf Wiedersehen
goods; Güter; they transport goods; sie transportieren Güter
govern; regieren; they govern the country; sie regieren das Land
government; Regierung; it's the government; es ist die Regierung
grab; greifen; they grab the item; sie greifen den Gegenstand
grade; Note; what's your grade?; was ist deine Note?
gradually; allmählich; it happens gradually; es passiert allmählich
graduate; Absolvent; he is a graduate; er ist ein Absolvent
grain; Korn; it's a grain; es ist ein Korn
grand; großartig; it's a grand idea; es ist eine großartige Idee
grandfather; Großvater; he is my grandfather; er ist mein Großvater
grandmother; Großmutter; she is my grandmother; sie ist meine Großmutter
grandparent; Großelternteil; she is a grandparent; sie ist ein Großelternteil
grant; gewähren; they grant the request; sie gewähren die Anfrage
grass; Gras; it's green grass; es ist grünes Gras
grateful; dankbar; I am grateful; ich bin dankbar
great; großartig; it's great; es ist großartig
green; grün; it's green; es ist grün
greet; grüßen; they greet each other; sie grüßen sich gegenseitig
grey; grau; it's grey; es ist grau
ground; Boden; it's on the ground; es ist auf dem Boden
group; Gruppe; it's a group; es ist eine Gruppe
grow; wachsen; they grow plants; sie lassen Pflanzen wachsen
growth; Wachstum; it's a good growth; es ist ein gutes Wachstum
guarantee; Garantie; it's a guarantee; es ist eine Garantie
guard; Wache; he is a guard; er ist eine Wache
guess; raten; I guess it's true; ich rate, es ist wahr
guest; Gast; he is a guest; er ist ein Gast
guide; Führer; he is a guide; er ist ein Führer
guilty; schuldig; he is guilty; er ist schuldig
guitar; Gitarre; I play the guitar; ich spiele Gitarre
gun; Pistole; it's a gun; es ist eine Pistole
guy; Typ; he is a nice guy; er ist ein netter Typ
gym; Fitnessstudio; I go to the gym; ich gehe ins Fitnessstudio
habit; Gewohnheit; it's a habit; es ist eine Gewohnheit
hair; Haar; it's long hair; es sind lange Haare
half; Hälfte; it's half; es ist die Hälfte
hall; Halle; it's a big hall; es ist eine große Halle
hand; Hand; I hurt my hand; ich verletze meine Hand
handle; Griff; it's a handle; es ist ein Griff
hang; hängen; they hang the picture; sie hängen das Bild
happen; passieren; it happens; es passiert
happily; glücklich; they live happily; sie leben glücklich
happiness; Glück; it's happiness; es ist Glück
happy; glücklich; I am happy; ich bin glücklich
hard; hart; it's hard work; es ist harte Arbeit
hardly; kaum; I hardly know him; ich kenne ihn kaum
harm; Schaden; it's a harm; es ist ein Schaden
harmful; schädlich; it's harmful; es ist schädlich
hat; Hut; I wear a hat; ich trage einen Hut
hate; hassen; I hate it; ich hasse es
have; haben; I have a car; ich habe ein Auto
have to; müssen; I have to go; ich muss gehen
he; er; he is here; er ist hier
head; Kopf; I hurt my head; ich verletze meinen Kopf
headache; Kopfschmerzen; I have a headache; ich habe Kopfschmerzen
headline; Schlagzeile; it's the headline; es ist die Schlagzeile
health; Gesundheit; it's about health; es geht um Gesundheit
healthy; gesund; it's healthy food; es ist gesundes Essen
hear; hören; I hear a noise; ich höre ein Geräusch
hearing; Gehör; my hearing is good; mein Gehör ist gut
heart; Herz; it's my heart; es ist mein Herz
heat; Hitze; there is heat; da ist Hitze
heating; Heizung; it's a heating system; es ist ein Heizsystem
heaven; Himmel; it's like heaven; es ist wie der Himmel
heavily; stark; it rains heavily; es regnet stark
heavy; schwer; it's heavy; es ist schwer
heel; Ferse; I hurt my heel; ich verletze meine Ferse
height; Höhe; what is the height?; was ist die Höhe?
helicopter; Hubschrauber; it's a helicopter; es ist ein Hubschrauber
hell; Hölle; it's like hell; es ist wie die Hölle
hello; hallo; hello; hallo
help; helfen; can you help me?; kannst du mir helfen?
helpful; hilfreich; you are helpful; du bist hilfreich
her; ihr; it's her book; es ist ihr Buch
here; hier; I am here; ich bin hier
hero; Held; he is a hero; er ist ein Held
hers; ihr; it's hers; es ist ihr
herself; sie selbst; she does it herself; sie macht es selbst
hesitate; zögern; don't hesitate; zögere nicht
hey; hey; hey, what's up?; hey, was ist los?
hi; hi; hi, how are you?; hi, wie geht es dir?
hide; verstecken; they hide the money; sie verstecken das Geld
high; hoch; it's high; es ist hoch
highlight; hervorheben; they highlight the text; sie heben den Text hervor
highly; sehr; it's highly recommended; es ist sehr empfehlenswert
hill; Hügel; it's a hill; es ist ein Hügel
him; ihm; give it to him; gib es ihm
himself; er selbst; he does it himself; er macht es selbst
hire; mieten; they hire a car; sie mieten ein Auto
his; sein; it's his car; es ist sein Auto
historic; historisch; it's an historic building; es ist ein historisches Gebäude
historical; historisch; it's a historical event; es ist ein historisches Ereignis
history; Geschichte; it's history; es ist Geschichte
hit; schlagen; they hit the ball; sie schlagen den Ball
hobby; Hobby; it's my hobby; es ist mein Hobby
hockey; Hockey; they play hockey; sie spielen Hockey
hold; halten; I hold the door; ich halte die Tür
hole; Loch; it's a hole; es ist ein Loch
holiday; Urlaub; it's a holiday; es ist ein Urlaub
hollow; hohl; it's hollow; es ist hohl
holy; heilig; it's holy; es ist heilig
home; Zuhause; I go home; ich gehe nach Hause
homework; Hausaufgaben; I do my homework; ich mache meine Hausaufgaben
honest; ehrlich; he is honest; er ist ehrlich
honour; Ehre; it's an honour; es ist eine Ehre
hope; hoffen; I hope it's true; ich hoffe, es ist wahr
horrible; schrecklich; it's horrible; es ist schrecklich
horror; Horror; it's a horror movie; es ist ein Horrorfilm
horse; Pferd; it's a horse; es ist ein Pferd
hospital; Krankenhaus; I go to the hospital; ich gehe ins Krankenhaus
host; Gastgeber; he is the host; er ist der Gastgeber
hot; heiß; it's hot; es ist heiß
hotel; Hotel; it's a big hotel; es ist ein großes Hotel
